,Company,TypeName,RAM(GB),OpSys,Weight(kg),TouchScreen,IPS,PPI,CPU,HDD,SSD,GPU Brand,Price(€)
41,Dell,Gaming,16,Windows,2.65,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,884.1166037280001
42,Asus,Notebook,8,Linux,2.3,0,0,100.45466986113651,Intel Core i5,1000,0,Nvidia,308.46173621328
43,Acer,Notebook,4,Windows,2.2,0,1,141.21199808219862,Intel Core i5,0,256,Intel,402.246513504
44,Dell,2 in 1 Convertible,12,Windows,2.77,1,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,589.214467728
45,Apple,Ultrabook,8,MacOS,1.37,0,1,226.98300468106115,Intel Core i5,0,256,Intel,836.9322619679999
46,Lenovo,Notebook,4,Other,2.2,0,0,100.45466986113651,Intel Core i3,0,128,Intel,217.637776368
47,Asus,Gaming,8,Windows,3.2,0,0,127.33567457123111,AMD,1000,256,AMD,766.1557493280001
48,Dell,Notebook,4,Windows,2.3,0,0,141.21199808219862,Intel Core i5,0,256,AMD,376.884929808
49,Asus,Notebook,4,Windows,2.8,0,0,90.58340172449303,Other Intel,1000,0,Nvidia,274.848790752
50,Lenovo,2 in 1 Convertible,4,Other,0.69,1,1,224.17380907857276,Other Intel,0,0,Intel,188.147562768
51,Acer,Notebook,8,Windows,2.2,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,496.0253927520001
52,HP,Notebook,4,Windows,1.86,0,0,141.21199808219862,AMD,0,256,AMD,235.03110434928
53,HP,Notebook,8,Windows,1.49,0,0,165.6321180513006,Intel Core i7,0,512,Intel,650.554112016
54,Acer,Notebook,4,Windows,2.4,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,226.48484044800003
55,Dell,Notebook,8,Windows,2.13,0,0,141.21199808219862,Intel Core i7,0,256,AMD,452.8517200416
56,HP,Notebook,4,Windows,1.91,0,0,141.21199808219862,Intel Core i3,0,128,Intel,258.924075408
57,Asus,Notebook,4,Windows,2.0,0,0,100.45466986113651,Intel Core i5,0,256,Intel,345.73736620368004
58,MSI,Gaming,16,Windows,2.43,0,0,127.33567457123111,Intel Core i7,2000,256,Nvidia,1444.430662128
59,Asus,Notebook,4,Linux,2.0,0,0,141.21199808219862,Intel Core i3,0,256,Intel,244.76877288000003
60,Dell,Notebook,16,Windows,2.8,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,766.1557493280001
61,Dell,Ultrabook,8,Windows,1.7,0,0,157.3505121487356,Intel Core i5,0,256,Intel,518.4379550880001
62,Lenovo,Notebook,8,Other,1.7,0,1,157.3505121487356,Intel Core i3,0,256,Intel,353.292758928
63,Asus,Notebook,8,Windows,1.4,0,0,157.3505121487356,Intel Core i5,0,256,Intel,555.005819952
64,HP,Notebook,8,Windows,1.86,0,0,141.21199808219862,Intel Core i5,0,256,Intel,406.96494767999997
65,Asus,Ultrabook,16,Windows,1.8,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,1169.5818713760002
66,HP,Notebook,4,Windows,1.86,0,0,100.45466986113651,Intel Core i3,500,0,AMD,258.74123608368
67,HP,Notebook,4,Windows,1.44,0,0,111.93520355955211,Other Intel,0,32,Intel,135.06517828800003
68,Lenovo,Notebook,4,Windows,1.9,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,323.802545328
69,Asus,Gaming,12,Linux,3.0,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,559.7242541280001
70,Microsoft,Ultrabook,4,Windows,1.252,1,0,200.84255993695703,Intel Core i5,0,128,Intel,642.296852208
71,Dell,Ultrabook,8,Windows,1.4,0,1,165.6321180513006,Intel Core i7,0,256,AMD,563.2630797600001
72,Dell,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,0,256,AMD,513.12971664
73,MSI,Gaming,8,Windows,2.7,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,645.83567784
74,Acer,Notebook,8,Windows,2.1,0,0,111.93520355955211,Intel Core i3,1000,0,Intel,229.433861808
75,Asus,Gaming,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,559.7242541280001
76,Lenovo,Notebook,8,Other,2.2,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,306.108417168
77,Dell,Notebook,8,Windows,2.02,0,0,141.21199808219862,Intel Core i7,1000,128,Intel,504.28265256000003
78,Acer,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,312.59626416000003
79,HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,576.238773744
80,Dell,Ultrabook,8,Windows,1.88,0,1,141.21199808219862,Intel Core i5,0,256,Intel,646.51985079552
81,Apple,Ultrabook,8,MacOS,0.92,0,1,226.41554716935852,Intel Core i5,0,512,Intel,890.60445072
82,HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i5,0,256,Intel,507.23167392000005
83,Lenovo,Notebook,4,Windows,2.2,0,0,141.21199808219862,AMD,0,128,AMD,235.33190452800002
84,Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,AMD,1000,0,AMD,232.97268744
85,Dell,Gaming,16,Windows,2.65,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,795.645962928
86,HP,Ultrabook,8,Windows,1.83,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,412.273186128
87,HP,Notebook,8,Windows,1.96,0,0,141.21199808219862,Intel Core i5,0,256,Intel,353.28686088528
88,Asus,Gaming,16,Windows,2.2,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,854.626390128
89,Dell,Ultrabook,8,Windows,1.21,0,1,165.6321180513006,Intel Core i7,0,256,Intel,972.587244528
90,Asus,Gaming,8,Windows,2.45,0,0,141.21199808219862,AMD,1000,0,AMD,412.273186128
91,Acer,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,406.375143408
92,HP,Notebook,16,Windows,1.49,0,0,165.6321180513006,Intel Core i7,0,512,Intel,705.9957135840001
93,Dell,Gaming,8,Windows,2.65,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,704.81610504
94,Asus,Ultrabook,8,Windows,1.25,0,0,157.3505121487356,Intel Core i7,0,256,Intel,618.704681328
95,Acer,2 in 1 Convertible,8,Windows,1.5,1,1,165.6321180513006,Intel Core i5,0,256,Intel,499.56421838400007
96,Dell,Notebook,8,Linux,2.2,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,353.8235827728
97,Dell,Notebook,4,Linux,2.2,0,0,141.21199808219862,Intel Core i3,0,256,AMD,286.05507192
98,Asus,Notebook,6,Windows,2.0,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,340.31706494400004
99,HP,Gaming,12,Windows,2.62,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,736.665535728
100,HP,Notebook,8,Windows,1.91,0,0,141.21199808219862,Intel Core i7,0,256,AMD,424.06927156800003
101,HP,Notebook,4,Windows,2.1,0,0,141.21199808219862,AMD,500,0,AMD,205.84169092800002
102,Dell,Notebook,8,Linux,2.2,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,381.60336398400005
103,HP,Ultrabook,8,Windows,1.38,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia,659.990980368
104,Microsoft,Ultrabook,8,Windows,1.252,1,0,200.84255993695703,Intel Core i5,0,256,Intel,790.33772448
105,HP,Notebook,6,Windows,1.58,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,388.681015248
106,Lenovo,Notebook,4,Windows,1.85,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,244.7097924528
107,Asus,Ultrabook,8,Windows,1.3,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,703.6364964960001
108,MSI,Gaming,16,Windows,2.2,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,766.1557493280001
109,Lenovo,Notebook,8,Windows,1.58,0,1,157.3505121487356,Intel Core i7,0,256,Intel,872.9103225599999
110,Asus,Ultrabook,16,Windows,1.5,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,744.332991264
111,Dell,Ultrabook,8,Windows,1.23,1,0,276.053530085501,Intel Core i7,0,256,Intel,813.340091088
112,Lenovo,2 in 1 Convertible,8,Windows,1.37,1,1,165.6321180513006,Intel Core i5,0,256,Intel,825.1361765280001
113,HP,Notebook,4,Windows,1.63,0,1,111.93520355955211,Intel Core i5,500,0,Intel,425.83868438400003
114,Dell,Ultrabook,8,Windows,1.21,0,1,165.6321180513006,Intel Core i5,0,256,Intel,960.791159088
115,HP,2 in 1 Convertible,8,Windows,1.26,1,1,165.6321180513006,Intel Core i5,0,256,Intel,825.1302784852801
116,HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i7,0,512,Intel,639.347830848
117,Dell,Notebook,8,Windows,2.16,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,666.6734627697599
118,Asus,Notebook,4,Windows,2.0,0,0,127.33567457123111,Intel Core i3,1000,0,Nvidia,332.649609408
119,Asus,Notebook,8,Windows,1.7,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,659.4011760960001
120,Acer,Notebook,6,Windows,2.1,1,1,141.21199808219862,Intel Core i3,1000,0,Intel,282.516246288
121,MSI,Gaming,16,Windows,1.8,0,0,141.21199808219862,Intel Core i7,2000,256,Nvidia,1322.046275688
122,Lenovo,Notebook,8,Other,2.2,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,370.98688708799995
123,HP,Notebook,16,Windows,2.5,0,0,127.33567457123111,Intel Core i7,0,512,Nvidia,749.641229712
124,Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,AMD,0,256,AMD,266.001726672
125,HP,Notebook,4,Other,1.86,0,0,100.45466986113651,Other Intel,500,0,Intel,152.75930644800002
126,HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i5,1000,0,Intel,478.921068864
127,Asus,Notebook,4,Windows,1.65,0,0,111.93520355955211,AMD,0,64,AMD,163.95968957328
128,Dell,Notebook,16,Windows,2.8,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,823.366763712
129,HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,0,256,Intel,547.338364416
130,Dell,Notebook,8,Windows,2.36,0,0,100.45466986113651,Intel Core i5,1000,0,AMD,376.87903176528
131,Dell,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,1000,0,AMD,264.822118128
132,Acer,Ultrabook,8,Windows,1.6,0,1,157.3505121487356,Intel Core i7,0,256,Intel,521.386976448
133,Acer,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,337.368043584
134,HP,Notebook,8,Windows,2.05,0,0,100.45466986113651,Intel Core i7,1000,0,Intel,352.70295465600003
135,HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i7,0,256,Intel,582.726620736
136,Lenovo,Notebook,4,Other,1.9,0,0,100.45466986113651,Other Intel,1000,0,Intel,148.84300608192
137,Asus,Gaming,8,Windows,3.0,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,553.236407136
138,Lenovo,Notebook,4,Other,2.2,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,294.312331728
139,HP,Notebook,4,Windows,1.32,0,1,165.6321180513006,Intel Core i5,0,256,Intel,412.273186128
140,Acer,Notebook,4,Windows,3.0,0,1,127.33567457123111,Intel Core i3,1000,0,Nvidia,386.32179816
141,Lenovo,Notebook,8,Windows,1.75,0,1,157.3505121487356,Intel Core i5,0,256,AMD,658.23336363744
142,Lenovo,Gaming,8,Other,2.4,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,512.539912368
143,Toshiba,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i5,500,0,Intel,355.062171744
144,HP,Notebook,4,Windows,1.86,0,0,100.45466986113651,AMD,0,256,AMD,217.637776368
145,Asus,Ultrabook,8,Windows,1.25,0,0,157.3505121487356,Intel Core i7,0,256,Intel,648.194894928
146,HP,Ultrabook,8,Windows,0.97,1,1,352.4651472131677,Other Intel,0,512,Intel,1187.865803808
147,Asus,Notebook,4,Windows,2.0,0,0,141.21199808219862,Other Intel,1000,0,Intel,202.892669568
148,MSI,Gaming,16,Windows,2.9,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,1196.7128678880001
149,Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,263.64250958400004
150,Dell,Gaming,16,Windows,2.56,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,736.81888483872
151,Dell,Gaming,8,Windows,2.62,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,530.234040528
152,Lenovo,Notebook,4,Windows,1.9,0,0,100.45466986113651,Intel Core i5,0,128,Intel,293.722527456
153,MSI,Gaming,16,Windows,2.8,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,1114.7300740800001
154,HP,Ultrabook,4,Windows,1.48,0,0,157.3505121487356,Intel Core i5,0,256,Intel,638.168222304
155,HP,Notebook,6,Windows,1.91,0,0,141.21199808219862,Intel Core i5,0,256,AMD,365.088844368
156,Lenovo,2 in 1 Convertible,4,Windows,1.74,1,1,157.3505121487356,Intel Core i3,0,256,Intel,370.98688708799995
157,Asus,2 in 1 Convertible,8,Windows,1.1,1,0,165.6321180513006,Intel Core i5,0,256,Intel,775.59261768
158,Dell,2 in 1 Convertible,8,Windows,1.56,1,0,141.21199808219862,Intel Core i7,0,256,Intel,618.704681328
159,Toshiba,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i3,500,0,Intel,263.64250958400004
160,Asus,Notebook,4,Windows,2.03,0,0,100.45466986113651,AMD,1000,0,AMD,237.691121616
161,Acer,Notebook,4,Windows,3.0,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia,474.79243896
162,Dell,Notebook,8,Windows,2.13,0,0,141.21199808219862,Intel Core i5,0,256,AMD,429.377510016
163,Lenovo,Gaming,16,Windows,2.5,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,636.3988094880001
164,Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Other Intel,1000,0,Intel,205.25188665599998
165,MSI,Gaming,16,Windows,2.4,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,1061.057885328
166,Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Other Intel,1000,0,Intel,214.39975091472002
167,Dell,Gaming,8,Windows,2.56,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,625.4815324132801
168,Acer,Notebook,8,Windows,3.0,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia,503.69284828800005
169,HP,Notebook,4,Windows,1.49,0,1,165.6321180513006,Intel Core i5,500,0,Intel,444.71242108800004
170,Huawei,Ultrabook,8,Windows,1.05,0,1,199.69207064108247,Intel Core i5,0,256,Intel,795.645962928
171,HP,Notebook,6,Windows,2.71,0,1,127.33567457123111,Intel Core i5,2000,0,AMD,412.273186128
172,Lenovo,Notebook,4,Other,2.2,0,0,100.45466986113651,AMD,500,0,AMD,182.24952004800002
173,Toshiba,Notebook,4,Windows,2.0,0,0,100.45466986113651,Intel Core i3,500,0,Intel,288.41428900799997
174,HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,0,256,Nvidia,544.389343056
175,Dell,Notebook,8,Windows,2.3,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,270.72016084800003
176,Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i3,0,128,Intel,264.822118128
177,MSI,Gaming,32,Windows,4.4,0,0,119.7232157653423,Intel Core i7,1000,512,Nvidia,1650.8621573280002
178,Lenovo,Notebook,8,Windows,1.9,0,0,141.21199808219862,Intel Core i5,1000,128,AMD,479.51087313600004
179,HP,2 in 1 Convertible,8,Windows,1.29,1,1,331.2642361026012,Intel Core i5,0,256,Intel,884.1166037280001
180,Dell,Notebook,16,Linux,2.02,0,0,141.21199808219862,Intel Core i7,2000,256,AMD,618.704681328
181,Dell,Ultrabook,8,Windows,1.23,0,0,165.6321180513006,Intel Core i5,0,256,Intel,825.1361765280001
182,Lenovo,2 in 1 Convertible,16,Windows,1.4,1,1,316.96506044349616,Intel Core i7,0,512,Intel,1090.5480989280002
183,Toshiba,Notebook,8,Windows,2.0,0,0,100.45466986113651,Intel Core i5,0,128,Intel,467.71478769600003
184,Xiaomi,Notebook,8,Other,1.95,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,707.1753221280001
185,Dell,Notebook,16,Windows,2.77,1,0,127.33567457123111,Intel Core i7,0,512,Nvidia,913.606817328
186,Dell,Notebook,16,Windows,2.06,1,0,282.42399616439724,Intel Core i7,0,512,Nvidia,1413.760839984
187,Lenovo,Gaming,8,Other,2.4,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,459.4575278880001
188,Acer,Ultrabook,8,Windows,1.12,0,1,165.6321180513006,Intel Core i5,0,256,Intel,583.316425008
189,Dell,Notebook,8,Windows,2.8,0,0,127.33567457123111,Intel Core i7,1000,128,AMD,639.9376351200001
190,Lenovo,2 in 1 Convertible,16,Windows,1.42,1,0,209.8006828649808,Intel Core i7,0,1000,Intel,1665.607264128
191,Vero,Notebook,4,Windows,1.3,0,1,157.3505121487356,Other Intel,0,0,Intel,153.34911072
192,Xiaomi,Ultrabook,8,Other,1.3,0,1,165.6321180513006,Intel Core i5,0,256,Nvidia,589.7452915727999
193,Lenovo,Notebook,8,Other,2.8,0,0,106.11306214269258,Intel Core i5,0,256,Nvidia,411.68338185600004
194,Dell,2 in 1 Convertible,8,Windows,1.62,1,1,165.6321180513006,Intel Core i7,1000,0,Intel,494.845784208
195,HP,Notebook,8,Windows,2.5,0,1,127.33567457123111,Intel Core i5,1000,0,Nvidia,539.081104608
196,Razer,Gaming,32,Windows,3.49,1,0,254.67134914246222,Intel Core i7,0,1000,Nvidia,3597.2162549279997
197,HP,Notebook,8,Windows,1.49,0,0,165.6321180513006,Intel Core i5,0,512,Intel,565.622296848
198,HP,Gaming,16,Windows,3.35,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,813.340091088
199,HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,616.3454642400001
200,Dell,Gaming,16,Windows,2.65,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia,1088.18888184
201,Lenovo,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i5,0,128,Intel,290.773506096
202,Acer,Notebook,8,Windows,2.23,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,437.63476982400005
203,Lenovo,Gaming,16,Windows,3.2,0,1,141.21199808219862,Intel Core i7,1000,512,Nvidia,1031.567671728
204,Dell,Workstation,16,Windows,2.8,0,0,282.42399616439724,Other Intel,1000,256,Nvidia,1801.85205096
205,Lenovo,Gaming,16,Other,2.4,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,824.546372256
206,Dell,Notebook,6,Windows,2.3,1,0,100.45466986113651,Intel Core i3,1000,0,Intel,258.924075408
207,Dell,Ultrabook,8,Windows,1.21,1,1,331.2642361026012,Intel Core i7,0,256,Intel,1149.528526128
208,Dell,Ultrabook,8,Windows,1.2,0,0,165.6321180513006,Intel Core i7,0,256,Intel,854.626390128
209,Lenovo,Notebook,8,Windows,2.2,0,0,100.45466986113651,Intel Core i5,0,256,Intel,352.113150384
210,Acer,Notebook,8,Linux,2.4,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,459.4575278880001
211,Asus,Gaming,16,Windows,2.9,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,829.8546107039999
212,HP,Notebook,4,Other,2.1,0,0,141.21199808219862,Intel Core i3,500,0,Intel,205.84169092800002
213,Lenovo,Notebook,8,Other,2.2,0,0,141.21199808219862,Intel Core i5,0,256,Intel,323.802545328
214,Huawei,Ultrabook,8,Windows,1.05,0,1,199.69207064108247,Intel Core i7,0,512,Intel,884.1166037280001
215,Dell,Ultrabook,8,Windows,1.4,0,1,165.6321180513006,Intel Core i7,0,256,AMD,549.62680499136
216,Lenovo,Notebook,8,Other,2.8,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,347.394716208
217,HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,608.088204432
218,Dell,Ultrabook,8,Windows,1.6,0,0,157.3505121487356,Intel Core i5,0,256,Intel,677.685108528
219,Dell,2 in 1 Convertible,16,Windows,1.62,1,0,165.6321180513006,Intel Core i7,0,512,Intel,754.359663888
220,Dell,Notebook,8,Linux,2.2,0,0,141.21199808219862,Intel Core i5,0,256,AMD,399.5039236392
221,Lenovo,2 in 1 Convertible,8,Windows,1.74,0,1,157.3505121487356,Intel Core i5,0,256,Intel,530.234040528
222,Toshiba,Ultrabook,8,Windows,1.2,0,0,165.6321180513006,Intel Core i7,0,256,Intel,803.9032227360001
223,HP,Notebook,8,Windows,2.1,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,468.304591968
224,Dell,Gaming,16,Windows,4.42,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,1448.75982548448
225,Acer,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,490.717154304
226,Dell,Notebook,16,Windows,2.3,1,0,141.21199808219862,Intel Core i7,1000,0,AMD,506.64776769072
227,Asus,Notebook,8,Windows,2.0,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,453.55948516800004
228,Asus,Notebook,8,Windows,2.69,0,0,127.33567457123111,Intel Core i5,500,256,Nvidia,525.5156063520001
229,HP,Notebook,8,Windows,1.9,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,748.461621168
230,Asus,Notebook,4,Windows,2.37,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,235.32600648528
231,HP,Notebook,4,Windows,2.1,0,0,100.45466986113651,AMD,500,0,AMD,194.63540976
232,Lenovo,Gaming,16,Windows,3.2,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,884.1166037280001
233,Dell,Notebook,8,Windows,1.6,0,0,157.3505121487356,Intel Core i5,0,256,Intel,506.641869648
234,Acer,2 in 1 Convertible,8,Windows,1.6,1,1,165.6321180513006,Intel Core i5,0,256,Intel,406.375143408
235,Dell,Notebook,16,Linux,2.36,0,0,141.21199808219862,Intel Core i7,0,256,AMD,530.234040528
236,Acer,Notebook,4,Linux,2.1,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,230.02366608000003
237,Asus,Notebook,4,Windows,2.2,0,0,141.21199808219862,AMD,1000,128,AMD,339.1374564
238,Asus,Gaming,32,Windows,4.7,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia,2294.3386180800003
239,Acer,Gaming,8,Windows,2.5,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,498.974414112
240,Lenovo,Notebook,8,Windows,2.2,0,0,100.45466986113651,Intel Core i3,0,128,Intel,347.394716208
